"word","occurrences","frequency","weight","stem"
"all-powerful",2,0.000002,0.998004,"all-pow"
"all-purpose",1,0.000001,0.999002,"all-purpos"
"all-round",1,0.000001,0.999002,"all-round"
"all-something-or-the-other",1,0.000001,0.999002,"all-something-or-the-oth"
"all-star",1,0.000001,0.999002,"all-star"
"all-time",3,0.000003,0.997008,"all-tim"
"all-too-brief",1,0.000001,0.999002,"all-too-brief"
"all-victorious",1,0.000001,0.999002,"all-victori"
"all-weather",2,0.000002,0.998004,"all-weath"
"all-white",5,0.000005,0.995018,"all-whit"
"all-woman",1,0.000001,0.999002,"all-woman"
"alla",2,0.000002,0.998004,"alla"
"allah",1,0.000001,0.999002,"allah"
"allan",4,0.000004,0.996012,"allan"
"allay",2,0.000002,0.998004,"allay"
"allegations",5,0.000005,0.995018,"alleg"
"allege",1,0.000001,0.999002,"alleg"
"alleged",10,0.000010,0.990060,"alleg"
"allegedly",4,0.000004,0.996012,"allegedli"
"alleghenies",1,0.000001,0.999002,"allegheni"
"allegheny",1,0.000001,0.999002,"allegheni"
"allegiance",4,0.000004,0.996012,"allegi"
"allegiances",1,0.000001,0.999002,"allegi"
"alleging",3,0.000003,0.997008,"alleg"
"allegoric",2,0.000002,0.998004,"allegor"
"allegorical",3,0.000003,0.997008,"allegor"
"allegory",3,0.000003,0.997008,"allegori"
"allegretti",1,0.000001,0.999002,"allegretti"
"allegro",2,0.000002,0.998004,"allegro"
"allemands",1,0.000001,0.999002,"allemand"
"allen",20,0.000020,0.980219,"allen"
"allen's",1,0.000001,0.999002,"allen'"
"allergic",2,0.000002,0.998004,"allerg"
"allergies",1,0.000001,0.999002,"allergi"
"allergy",1,0.000001,0.999002,"allergi"
"alleviate",5,0.000005,0.995018,"allevi"
"alleviating",1,0.000001,0.999002,"allevi"
"alleviation",2,0.000002,0.998004,"allevi"
"alley",8,0.000008,0.992040,"alley"
"alleys",1,0.000001,0.999002,"alley"
"alleyways",1,0.000001,0.999002,"alleyway"
"alliance",20,0.000020,0.980219,"allianc"
"alliance's",1,0.000001,0.999002,"alliance'"
"alliances",1,0.000001,0.999002,"allianc"
"allied",29,0.000029,0.971445,"alli"
"allies",30,0.000030,0.970476,"alli"
"alligator",4,0.000004,0.996012,"allig"
"alligatored",1,0.000001,0.999002,"allig"
"allison",1,0.000001,0.999002,"allison"
"allison's",1,0.000001,0.999002,"allison'"
"alliteration",1,0.000001,0.999002,"alliter"
"alliterative",1,0.000001,0.999002,"allit"
"allocable",3,0.000003,0.997008,"alloc"
"allocate",3,0.000003,0.997008,"alloc"
"allocated",5,0.000005,0.995018,"alloc"
"allocation",17,0.000017,0.983161,"alloc"
"allocations",2,0.000002,0.998004,"alloc"
"allons",1,0.000001,0.999002,"allon"
"allot",1,0.000001,0.999002,"allot"
"alloted",1,0.000001,0.999002,"allot"
"allotment",39,0.000039,0.961789,"allot"
"allotments",10,0.000010,0.990060,"allot"
"allotted",10,0.000010,0.990060,"allot"
"allotting",1,0.000001,0.999002,"allot"
"allow",72,0.000072,0.930600,"allow"
"allowable",5,0.000005,0.995018,"allow"
"allowance",16,0.000016,0.984144,"allow"
"allowances",25,0.000025,0.975335,"allow"
"allowed",86,0.000086,0.917676,"allow"
"allowing",31,0.000031,0.969507,"allow"
"allows",19,0.000019,0.981199,"allow"
"alloy",3,0.000003,0.997008,"alloy"
"alloys",3,0.000003,0.997008,"alloy"
"allso",1,0.000001,0.999002,"allso"
"allstates",4,0.000004,0.996012,"allstat"
"allstates'",1,0.000001,0.999002,"allstates'"
"allstates-zenith",1,0.000001,0.999002,"allstates-zenith"
"alluded",1,0.000001,0.999002,"allud"
"alludes",1,0.000001,0.999002,"allud"
"alluding",1,0.000001,0.999002,"allud"
"allure",1,0.000001,0.999002,"allur"
"allurement",1,0.000001,0.999002,"allur"
"alluring",1,0.000001,0.999002,"allur"
"allusion",3,0.000003,0.997008,"allus"
"allusions",5,0.000005,0.995018,"allus"
"allusiveness",1,0.000001,0.999002,"allus"
"ally",9,0.000009,0.991050,"alli"
"alma",7,0.000007,0.993032,"alma"
"almaden",1,0.000001,0.999002,"almaden"
"almagest",4,0.000004,0.996012,"almagest"
"almanac",1,0.000001,0.999002,"almanac"
"almighty",5,0.000005,0.995018,"almighti"
"almond",1,0.000001,0.999002,"almond"
"almonds",3,0.000003,0.997008,"almond"
"almost",432,0.000432,0.649498,"almost"
"aloes",2,0.000002,0.998004,"alo"
"aloft",3,0.000003,0.997008,"aloft"
"alokut",1,0.000001,0.999002,"alokut"
"alone",195,0.000195,0.823000,"alon"
"aloneness",2,0.000002,0.998004,"alon"
"along",355,0.000355,0.701430,"along"
"alongside",15,0.000015,0.985127,"alongsid"
"aloof",5,0.000005,0.995018,"aloof"
"aloofness",1,0.000001,0.999002,"aloof"
"alors",2,0.000002,0.998004,"alor"
"aloud",13,0.000013,0.987097,"aloud"
"alpers",2,0.000002,0.998004,"alper"
"alpert",5,0.000005,0.995018,"alpert"
"alperts",1,0.000001,0.999002,"alpert"
"alpha",6,0.000006,0.994024,"alpha"
"alpha-beta-gammas",1,0.000001,0.999002,"alpha-beta-gamma"
"alphabet",2,0.000002,0.998004,"alphabet"
"alphabetic",1,0.000001,0.999002,"alphabet"
"alphabetical",4,0.000004,0.996012,"alphabet"
"alphabetized",1,0.000001,0.999002,"alphabet"
"alpharetta",1,0.000001,0.999002,"alpharetta"
"alphonse",1,0.000001,0.999002,"alphons"
"alps",2,0.000002,0.998004,"alp"
"alreadeh",1,0.000001,0.999002,"alreadeh"
"already",273,0.000273,0.761307,"alreadi"
"alsatian",3,0.000003,0.997008,"alsatian"
"alsatians",1,0.000001,0.999002,"alsatian"
"alsing",1,0.000001,0.999002,"als"
"also",1069,0.001068,0.343730,"also"
"alsop",3,0.000003,0.997008,"alsop"
"altairians",1,0.000001,0.999002,"altairian"
"altar",5,0.000005,0.995018,"altar"
"altenburg",4,0.000004,0.996012,"altenburg"
"alter",15,0.000015,0.985127,"alter"
"alter-ego",1,0.000001,0.999002,"alter-ego"
"alter-parents",1,0.000001,0.999002,"alter-par"
"alteration",7,0.000007,0.993032,"alter"
"alterations",7,0.000007,0.993032,"alter"
"altercation",1,0.000001,0.999002,"alterc"
"altered",22,0.000022,0.978262,"alter"
"altering",4,0.000004,0.996012,"alter"
"alterman",1,0.000001,0.999002,"alterman"
"alternate",11,0.000011,0.989071,"altern"
"alternated",1,0.000001,0.999002,"altern"
"alternately",7,0.000007,0.993032,"altern"
"alternating",1,0.000001,0.999002,"altern"
"alternation",2,0.000002,0.998004,"altern"
"alternative",34,0.000034,0.966605,"altern"
"alternatively",3,0.000003,0.997008,"altern"
"alternatives",17,0.000017,0.983161,"altern"
"alters",1,0.000001,0.999002,"alter"
"althaus",1,0.000001,0.999002,"althau"
"althea",1,0.000001,0.999002,"althea"
"altho",2,0.000002,0.998004,"altho"
"although",321,0.000321,0.725663,"although"
"altitude",4,0.000004,0.996012,"altitud"
"altitude-azimuth-mounted",1,0.000001,0.999002,"altitude-azimuth-mount"
"alto",4,0.000004,0.996012,"alto"
"altogether",30,0.000030,0.970476,"altogeth"
"alton",2,0.000002,0.998004,"alton"
"altruism",1,0.000001,0.999002,"altruism"
"altruistically",1,0.000001,0.999002,"altruist"
"alum",1,0.000001,0.999002,"alum"
"aluminum",18,0.000018,0.982179,"aluminum"
"alumnae",1,0.000001,0.999002,"alumna"
"alumni",9,0.000009,0.991050,"alumni"
"alundum",1,0.000001,0.999002,"alundum"
"alusik",1,0.000001,0.999002,"alusik"
"alusik's",2,0.000002,0.998004,"alusik'"
"alva",2,0.000002,0.998004,"alva"
"alvarez",3,0.000003,0.997008,"alvarez"
"alvear",1,0.000001,0.999002,"alvear"
"alveolar",9,0.000009,0.991050,"alveolar"
"alveoli",4,0.000004,0.996012,"alveoli"
"alveolus",1,0.000001,0.999002,"alveolu"
"alvin",6,0.000006,0.994024,"alvin"
"alvise",2,0.000002,0.998004,"alvis"
"always",458,0.000458,0.632846,"alway"
"always-present",1,0.000001,0.999002,"always-pres"
"alwin",2,0.000002,0.998004,"alwin"
"am",237,0.000237,0.789184,"am"
"ama",1,0.000001,0.999002,"ama"
"amadee",4,0.000004,0.996012,"amade"
"amadee's",1,0.000001,0.999002,"amadee'"
"amado",1,0.000001,0.999002,"amado"
"amalgamated",1,0.000001,0.999002,"amalgam"
"amalgamation",1,0.000001,0.999002,"amalgam"
"amanuensis",1,0.000001,0.999002,"amanuensi"
"amaral",1,0.000001,0.999002,"amar"
"amass",2,0.000002,0.998004,"amass"
"amassing",1,0.000001,0.999002,"amass"
"amateur",25,0.000025,0.975335,"amateur"
"amateurish",3,0.000003,0.997008,"amateurish"
"amateurishness",1,0.000001,0.999002,"amateurish"
"amateurs",2,0.000002,0.998004,"amateur"
"amatory",1,0.000001,0.999002,"amatori"
"amaze",3,0.000003,0.997008,"amaz"
"amazed",11,0.000011,0.989071,"amaz"
"amazement",10,0.000010,0.990060,"amaz"
"amazing",20,0.000020,0.980219,"amaz"
"amazingly",3,0.000003,0.997008,"amazingli"
"amazon",2,0.000002,0.998004,"amazon"
"amazons",1,0.000001,0.999002,"amazon"
"ambassador",22,0.000022,0.978262,"ambassador"
"ambassador's",1,0.000001,0.999002,"ambassador'"
"ambassador-at-large",1,0.000001,0.999002,"ambassador-at-larg"
"ambassador-designate",1,0.000001,0.999002,"ambassador-design"
"ambassadors",6,0.000006,0.994024,"ambassador"
"amber",3,0.000003,0.997008,"amber"
"ambiance",1,0.000001,0.999002,"ambianc"
"ambidextrous",1,0.000001,0.999002,"ambidextr"
"ambiguities",7,0.000007,0.993032,"ambigu"
"ambiguity",11,0.000011,0.989071,"ambigu"
"ambiguous",22,0.000022,0.978262,"ambigu"
"ambition",19,0.000019,0.981199,"ambit"
"ambitions",15,0.000015,0.985127,"ambit"
"ambitious",16,0.000016,0.984144,"ambiti"
"ambitiously",1,0.000001,0.999002,"ambiti"
"ambivalence",5,0.000005,0.995018,"ambival"
"ambivalent",6,0.000006,0.994024,"ambival"
"ambled",1,0.000001,0.999002,"ambl"
"ambler",1,0.000001,0.999002,"ambler"
"ambling",1,0.000001,0.999002,"ambl"
"ambrose",1,0.000001,0.999002,"ambros"
"ambrosial",1,0.000001,0.999002,"ambrosi"
"ambulance",6,0.000006,0.994024,"ambul"
"ambulances",1,0.000001,0.999002,"ambul"
"ambulatory",1,0.000001,0.999002,"ambulatori"
"ambuscade",1,0.000001,0.999002,"ambuscad"
"ambush",7,0.000007,0.993032,"ambush"
"ambushed",2,0.000002,0.998004,"ambush"
"ambushes",1,0.000001,0.999002,"ambush"
"ameaux",2,0.000002,0.998004,"ameaux"
"amelia's",2,0.000002,0.998004,"amelia'"
"amen",19,0.000019,0.981199,"amen"
"amenable",3,0.000003,0.997008,"amen"
"amend",2,0.000002,0.998004,"amend"
"amended",14,0.000014,0.986112,"amend"
"amending",1,0.000001,0.999002,"amend"
"amendment",23,0.000023,0.977286,"amend"
"amendment's",1,0.000001,0.999002,"amendment'"
"amendments",7,0.000007,0.993032,"amend"
"amenitskii",1,0.000001,0.999002,"amenitskii"
"america",194,0.000194,0.823822,"america"
"america's",22,0.000022,0.978262,"america'"
"american",569,0.000568,0.566423,"american"
"american's",1,0.000001,0.999002,"american'"
"american-jewish",1,0.000001,0.999002,"american-jewish"
"american-negro",3,0.000003,0.997008,"american-negro"
"american-trained",1,0.000001,0.999002,"american-train"
"americana",5,0.000005,0.995018,"americana"
"americans",93,0.000093,0.911281,"american"
"americas",1,0.000001,0.999002,"america"
"amethystine",4,0.000004,0.996012,"amethystin"
"amiable",2,0.000002,0.998004,"amiabl"
"amicable",1,0.000001,0.999002,"amic"
"amicably",1,0.000001,0.999002,"amic"
"amicam",1,0.000001,0.999002,"amicam"
"amici",3,0.000003,0.997008,"amici"
"amid",14,0.000014,0.986112,"amid"
"amide",1,0.000001,0.999002,"amid"
"amidst",3,0.000003,0.997008,"amidst"
"amigo",2,0.000002,0.998004,"amigo"
"amines",1,0.000001,0.999002,"amin"
"amino",1,0.000001,0.999002,"amino"
"amis",1,0.000001,0.999002,"ami"
"amiss",2,0.000002,0.998004,"amiss"
"amity",1,0.000001,0.999002,"amiti"
"ammo",4,0.000004,0.996012,"ammo"
"ammoniac",1,0.000001,0.999002,"ammoniac"
"ammonium",1,0.000001,0.999002,"ammonium"
"ammunition",18,0.000018,0.982179,"ammunit"
"amonasro",2,0.000002,0.998004,"amonasro"
"among",370,0.000370,0.690998,"among"
"amongst",4,0.000004,0.996012,"amongst"
"amoral",2,0.000002,0.998004,"amor"
"amorality",1,0.000001,0.999002,"amor"
"amorist",1,0.000001,0.999002,"amorist"
"amorous",2,0.000002,0.998004,"amor"
"amorphous",6,0.000006,0.994024,"amorph"
"amorphously",1,0.000001,0.999002,"amorph"
"amortization",3,0.000003,0.997008,"amort"
"amortize",2,0.000002,0.998004,"amort"
"amory",1,0.000001,0.999002,"amori"
"amos",3,0.000003,0.997008,"amo"
"amount",172,0.000172,0.842128,"amount"
"amounted",5,0.000005,0.995018,"amount"
"amounting",1,0.000001,0.999002,"amount"
"amounts",44,0.000044,0.956997,"amount"
"amp",3,0.000003,0.997008,"amp"
"amphetamines",1,0.000001,0.999002,"amphetamin"
"amphibious",1,0.000001,0.999002,"amphibi"
"amphibology",1,0.000001,0.999002,"amphibolog"
"amphitheater",1,0.000001,0.999002,"amphitheat"
"ample",16,0.000016,0.984144,"ampl"
"amplification",2,0.000002,0.998004,"amplif"
"amplified",6,0.000006,0.994024,"amplifi"
"amplifier",6,0.000006,0.994024,"amplifi"
"amplifiers",1,0.000001,0.999002,"amplifi"
"amplify",1,0.000001,0.999002,"amplifi"
"amplifying",1,0.000001,0.999002,"amplifi"
"amplitude",6,0.000006,0.994024,"amplitud"
"amply",4,0.000004,0.996012,"ampli"
"amputated",1,0.000001,0.999002,"amput"
"amra",1,0.000001,0.999002,"amra"
"amsterdam",3,0.000003,0.997008,"amsterdam"
"amt",1,0.000001,0.999002,"amt"
"amulet",1,0.000001,0.999002,"amulet"
"amulets",1,0.000001,0.999002,"amulet"
"amuse",3,0.000003,0.997008,"amus"
"amused",9,0.000009,0.991050,"amus"
"amusedly",1,0.000001,0.999002,"amusedli"
"amusement",7,0.000007,0.993032,"amus"
"amusements",2,0.000002,0.998004,"amus"
"amusing",14,0.000014,0.986112,"amus"
"amusingly",2,0.000002,0.998004,"amusingli"
"amy",15,0.000015,0.985127,"ami"
"an",3740,0.003736,0.023846,"an"
"an'",8,0.000008,0.992040,"an'"
"ana",1,0.000001,0.999002,"ana"
"anabaptist",1,0.000001,0.999002,"anabaptist"
"anabaptists",1,0.000001,0.999002,"anabaptist"
"anabel",1,0.000001,0.999002,"anabel"
"anachronism",3,0.000003,0.997008,"anachron"
"anachronisms",2,0.000002,0.998004,"anachron"
"anachronistically",1,0.000001,0.999002,"anachronist"
"anaconda",14,0.000014,0.986112,"anaconda"
"anaconda's",2,0.000002,0.998004,"anaconda'"
"anacondas",4,0.000004,0.996012,"anaconda"
"anaerobic",1,0.000001,0.999002,"anaerob"
"anaesthesia",1,0.000001,0.999002,"anaesthesia"
"anagram",1,0.000001,0.999002,"anagram"
"analeptic",2,0.000002,0.998004,"analept"
"analogies",4,0.000004,0.996012,"analog"
"analogous",8,0.000008,0.992040,"analog"
"analogously",2,0.000002,0.998004,"analog"
"analogue",1,0.000001,0.999002,"analogu"
"analogues",1,0.000001,0.999002,"analogu"
"analogy",13,0.000013,0.987097,"analog"
"analysed",2,0.000002,0.998004,"analys"
"analyses",13,0.000013,0.987097,"analys"
"analysis",108,0.000108,0.897727,"analysi"
"analyst",7,0.000007,0.993032,"analyst"
"analyst's",3,0.000003,0.997008,"analyst'"
"analysts",6,0.000006,0.994024,"analyst"
"analytic",16,0.000016,0.984144,"analyt"
"analytical",9,0.000009,0.991050,"analyt"
"analytically",1,0.000001,0.999002,"analyt"
"analyticity",1,0.000001,0.999002,"analyt"
"analytrol",1,0.000001,0.999002,"analytrol"
"analyzable",1,0.000001,0.999002,"analyz"
"analyze",10,0.000010,0.990060,"analyz"
"analyzed",14,0.000014,0.986112,"analyz"
"analyzer",1,0.000001,0.999002,"analyz"
"analyzes",2,0.000002,0.998004,"analyz"
"analyzing",8,0.000008,0.992040,"analyz"
"anania",1,0.000001,0.999002,"anania"
"anaplasmosis",1,0.000001,0.999002,"anaplasmosi"
"anaprapath",1,0.000001,0.999002,"anaprapath"
"anarchic",1,0.000001,0.999002,"anarch"
"anarchical",2,0.000002,0.998004,"anarch"
"anarchist",1,0.000001,0.999002,"anarchist"
"anarchist-adventurers",1,0.000001,0.999002,"anarchist-adventur"
"anarchy",7,0.000007,0.993032,"anarchi"
"anastomoses",6,0.000006,0.994024,"anastomos"
"anastomosis",1,0.000001,0.999002,"anastomosi"
"anastomotic",1,0.000001,0.999002,"anastomot"
"anatole",1,0.000001,0.999002,"anatol"
"anatomic",1,0.000001,0.999002,"anatom"
"anatomical",9,0.000009,0.991050,"anatom"
"anatomically",2,0.000002,0.998004,"anatom"
"anatomicals",1,0.000001,0.999002,"anatom"
"anatomy",9,0.000009,0.991050,"anatomi"
"ancel",1,0.000001,0.999002,"ancel"
"ancestor",7,0.000007,0.993032,"ancestor"
"ancestors",6,0.000006,0.994024,"ancestor"
"ancestral",5,0.000005,0.995018,"ancestr"
"ancestry",8,0.000008,0.992040,"ancestri"
"anchor",15,0.000015,0.985127,"anchor"
"anchorage",1,0.000001,0.999002,"anchorag"
"anchored",10,0.000010,0.990060,"anchor"
"anchoring",1,0.000001,0.999002,"anchor"
"anchorite",2,0.000002,0.998004,"anchorit"
"anchoritism",1,0.000001,0.999002,"anchorit"
"anchors",2,0.000002,0.998004,"anchor"
"anchovy",1,0.000001,0.999002,"anchovi"
"ancient",69,0.000069,0.933393,"ancient"
"anciently",1,0.000001,0.999002,"ancient"
"ancients",1,0.000001,0.999002,"ancient"
"ancillary",2,0.000002,0.998004,"ancillari"
"ancistrodon",1,0.000001,0.999002,"ancistrodon"
"and",28853,0.028823,0.000000,"and"
"and/or",17,0.000017,0.983161,"and/or"
"andean",2,0.000002,0.998004,"andean"
"anderlini",1,0.000001,0.999002,"anderlini"
"anders",2,0.000002,0.998004,"ander"
"andersen",1,0.000001,0.999002,"andersen"
"anderson",13,0.000013,0.987097,"anderson"
"anderson's",4,0.000004,0.996012,"anderson'"
"andover",3,0.000003,0.997008,"andov"
"andre",3,0.000003,0.997008,"andr"
"andrea",4,0.000004,0.996012,"andrea"
"andrei",18,0.000018,0.982179,"andrei"
"andrei's",2,0.000002,0.998004,"andrei'"
"andrena",7,0.000007,0.993032,"andrena"
"andrenas",4,0.000004,0.996012,"andrena"
"andres",1,0.000001,0.999002,"andr"
"andrew",12,0.000012,0.988084,"andrew"
"andrews",2,0.000002,0.998004,"andrew"
"androfski",3,0.000003,0.997008,"androfski"
"andromache",1,0.000001,0.999002,"andromach"
"andrus",12,0.000012,0.988084,"andru"
"andruses",1,0.000001,0.999002,"andrus"
"andy",33,0.000033,0.967571,"andi"
"andy's",4,0.000004,0.996012,"andy'"
"anecdotal",1,0.000001,0.999002,"anecdot"
"anecdote",9,0.000009,0.991050,"anecdot"
"anecdotes",4,0.000004,0.996012,"anecdot"
"anemated",1,0.000001,0.999002,"anem"
"anemia",5,0.000005,0.995018,"anemia"
"anemic",1,0.000001,0.999002,"anem"
"anesthetic",1,0.000001,0.999002,"anesthet"
"anesthetically",1,0.000001,0.999002,"anesthet"
"anesthetics",1,0.000001,0.999002,"anesthet"
"anesthetized",1,0.000001,0.999002,"anesthet"
"anew",6,0.000006,0.994024,"anew"
"angel",18,0.000018,0.982179,"angel"
"angel's",3,0.000003,0.997008,"angel'"
"angeles",47,0.000047,0.954134,"angel"
"angeles'",3,0.000003,0.997008,"angeles'"
"angeles-pasadena",1,0.000001,0.999002,"angeles-pasadena"
"angelic",2,0.000002,0.998004,"angel"
"angelica",1,0.000001,0.999002,"angelica"
"angelico",1,0.000001,0.999002,"angelico"
"angelina",4,0.000004,0.996012,"angelina"
"angell",1,0.000001,0.999002,"angel"
"angelo",8,0.000008,0.992040,"angelo"
"angelo's",2,0.000002,0.998004,"angelo'"
"angels",24,0.000024,0.976310,"angel"
"anger",48,0.000048,0.953181,"anger"
"angered",1,0.000001,0.999002,"anger"
"angie",17,0.000017,0.983161,"angi"
"angle",51,0.000051,0.950329,"angl"
"angles",11,0.000011,0.989071,"angl"
"angleterre",1,0.000001,0.999002,"angleterr"
"anglia",1,0.000001,0.999002,"anglia"
"anglican",11,0.000011,0.989071,"anglican"
"anglicanism",1,0.000001,0.999002,"anglican"
"anglicans",2,0.000002,0.998004,"anglican"
"angling",1,0.000001,0.999002,"angl"
"anglo-american",2,0.000002,0.998004,"anglo-american"
"anglo-americans",1,0.000001,0.999002,"anglo-american"
"anglo-jewish",1,0.000001,0.999002,"anglo-jewish"
"anglo-protestant",1,0.000001,0.999002,"anglo-protest"
"anglo-saxon",22,0.000022,0.978262,"anglo-saxon"
"anglo-saxons",1,0.000001,0.999002,"anglo-saxon"
"anglophilia",1,0.000001,0.999002,"anglophilia"
"anglophobia",1,0.000001,0.999002,"anglophobia"
"angola",3,0.000003,0.997008,"angola"
"angriest",1,0.000001,0.999002,"angriest"
"angrily",7,0.000007,0.993032,"angrili"
"angry",45,0.000045,0.956042,"angri"
"angst",2,0.000002,0.998004,"angst"
"anguish",8,0.000008,0.992040,"anguish"
"anguished",2,0.000002,0.998004,"anguish"
"angular",16,0.000016,0.984144,"angular"
"anhalt-bernburg",1,0.000001,0.999002,"anhalt-bernburg"
"anhemolyticus",1,0.000001,0.999002,"anhemolyticu"
"anhwei",1,0.000001,0.999002,"anhwei"
"anhydrous",1,0.000001,0.999002,"anhydr"
"anhydrously",1,0.000001,0.999002,"anhydr"
"ani",2,0.000002,0.998004,"ani"
"aniline",1,0.000001,0.999002,"anilin"
"animal",68,0.000068,0.934326,"anim"
"animal's",3,0.000003,0.997008,"animal'"
"animal-like",1,0.000001,0.999002,"animal-lik"
"animals",58,0.000058,0.943706,"anim"
"animate",1,0.000001,0.999002,"anim"
"animated",5,0.000005,0.995018,"anim"
"animation",2,0.000002,0.998004,"anim"
"animism",1,0.000001,0.999002,"anim"
"animized",1,0.000001,0.999002,"anim"
"animosity",3,0.000003,0.997008,"animos"
"anion",1,0.000001,0.999002,"anion"
"anionic",10,0.000010,0.990060,"anion"
"anionics",1,0.000001,0.999002,"anion"
"anions",1,0.000001,0.999002,"anion"
"anise",2,0.000002,0.998004,"anis"
"aniseikonic",2,0.000002,0.998004,"aniseikon"
"anisotropy",1,0.000001,0.999002,"anisotropi"
"anita",2,0.000002,0.998004,"anita"
"ankara",1,0.000001,0.999002,"ankara"
"ankle",8,0.000008,0.992040,"ankl"
"ankle-deep",2,0.000002,0.998004,"ankle-deep"
"ankles",7,0.000007,0.993032,"ankl"
"ann",29,0.000029,0.971445,"ann"
"ann's",2,0.000002,0.998004,"ann'"
"anna",7,0.000007,0.993032,"anna"
"annals",4,0.000004,0.996012,"annal"
"annamorena",1,0.000001,0.999002,"annamorena"
"annapolis",7,0.000007,0.993032,"annapoli"
"anne",42,0.000042,0.958911,"ann"
"anne's",4,0.000004,0.996012,"anne'"
"annee",1,0.000001,0.999002,"anne"
"annex",1,0.000001,0.999002,"annex"
"annie",1,0.000001,0.999002,"anni"
"annihilate",1,0.000001,0.999002,"annihil"
"annihilation",6,0.000006,0.994024,"annihil"
"annisberg",1,0.000001,0.999002,"annisberg"
"anniston",17,0.000017,0.983161,"anniston"
"anniston's",1,0.000001,0.999002,"anniston'"
"anniversaries",1,0.000001,0.999002,"anniversari"
"anniversary",21,0.000021,0.979240,"anniversari"
"announce",18,0.000018,0.982179,"announc"
"announced",88,0.000088,0.915844,"announc"
"announcement",24,0.000024,0.976310,"announc"
"announcements",6,0.000006,0.994024,"announc"
"announcer",2,0.000002,0.998004,"announc"
"announcer's",1,0.000001,0.999002,"announcer'"
"announcers",1,0.000001,0.999002,"announc"
"announces",3,0.000003,0.997008,"announc"
"announcing",7,0.000007,0.993032,"announc"
"annoy",2,0.000002,0.998004,"annoy"
"annoyance",9,0.000009,0.991050,"annoy"
"annoyances",1,0.000001,0.999002,"annoy"
"annoyed",7,0.000007,0.993032,"annoy"
"annoying",6,0.000006,0.994024,"annoy"
"annoys",1,0.000001,0.999002,"annoy"
"annual",93,0.000093,0.911281,"annual"
"annually",14,0.000014,0.986112,"annual"
"annum",3,0.000003,0.997008,"annum"
"annunciated",1,0.000001,0.999002,"annunci"
"anode",77,0.000077,0.925963,"anod"
"anodes",1,0.000001,0.999002,"anod"
"anomalies",1,0.000001,0.999002,"anomali"
"anomalous",1,0.000001,0.999002,"anomal"
"anomaly",1,0.000001,0.999002,"anomali"
"anomic",1,0.000001,0.999002,"anom"
"anomie",1,0.000001,0.999002,"anomi"
"anonymity",2,0.000002,0.998004,"anonym"
"anonymous",17,0.000017,0.983161,"anonym"
"anorexia",1,0.000001,0.999002,"anorexia"
"anorthic",1,0.000001,0.999002,"anorth"
"another",684,0.000683,0.504950,"anoth"
"another's",5,0.000005,0.995018,"another'"
"anouilh",1,0.000001,0.999002,"anouilh"
"anselm's",1,0.000001,0.999002,"anselm'"
"anselmo",1,0.000001,0.999002,"anselmo"
"ansley",1,0.000001,0.999002,"ansley"
"anson",1,0.000001,0.999002,"anson"
"ansuh",1,0.000001,0.999002,"ansuh"
"answer",152,0.000152,0.859123,"answer"
"answerable",1,0.000001,0.999002,"answer"
"answered",67,0.000067,0.935260,"answer"
"answering",14,0.000014,0.986112,"answer"
"answers",44,0.000044,0.956997,"answer"
"ant",6,0.000006,0.994024,"ant"
"anta",5,0.000005,0.995018,"anta"
"antagonised",1,0.000001,0.999002,"antagonis"
"antagonism",9,0.000009,0.991050,"antagon"
"antagonisms",2,0.000002,0.998004,"antagon"
"antagonist",3,0.000003,0.997008,"antagonist"
"antagonistic",4,0.000004,0.996012,"antagonist"
"antagonists",4,0.000004,0.996012,"antagonist"
"antagonize",1,0.000001,0.999002,"antagon"
"antarctica",1,0.000001,0.999002,"antarctica"
"antares",1,0.000001,0.999002,"antar"
"ante",3,0.000003,0.997008,"ant"
"ante-bellum",3,0.000003,0.997008,"ante-bellum"
"anteater",1,0.000001,0.999002,"anteat"
"antecedent",1,0.000001,0.999002,"anteced"
"antecedents",2,0.000002,0.998004,"anteced"
"antelope",7,0.000007,0.993032,"antelop"
"antenna",13,0.000013,0.987097,"antenna"
"antennae",3,0.000003,0.997008,"antenna"
"antennas",1,0.000001,0.999002,"antenna"
"anterior",5,0.000005,0.995018,"anterior"
"anteriors",1,0.000001,0.999002,"anterior"
"anthea",3,0.000003,0.997008,"anthea"
"anthem",1,0.000001,0.999002,"anthem"
"anthems",1,0.000001,0.999002,"anthem"
"anthology",4,0.000004,0.996012,"antholog"
"anthony",16,0.000016,0.984144,"anthoni"
"anthony's",1,0.000001,0.999002,"anthony'"
"anthropological",1,0.000001,0.999002,"anthropolog"
"anthropological-religious",1,0.000001,0.999002,"anthropological-religi"
"anthropologist",2,0.000002,0.998004,"anthropologist"
"anthropologists",2,0.000002,0.998004,"anthropologist"
"anthropology",7,0.000007,0.993032,"anthropolog"
"anthropomorphic",1,0.000001,0.999002,"anthropomorph"
"anti",1,0.000001,0.999002,"anti"
"anti-a",4,0.000004,0.996012,"anti-a"
"anti-aircraft",2,0.000002,0.998004,"anti-aircraft"
"anti-american",2,0.000002,0.998004,"anti-american"
"anti-americanism",1,0.000001,0.999002,"anti-american"
"anti-assignment",1,0.000001,0.999002,"anti-assign"
"anti-authoritarian",1,0.000001,0.999002,"anti-authoritarian"
"anti-b",4,0.000004,0.996012,"anti-b"
