"stem","occurrences","frequency","weight"
"denud",1,0.000001,0.999002
"denunci",6,0.000006,0.994024
"denver",16,0.000016,0.984144
"denver'",1,0.000001,0.999002
"denver-area",1,0.000001,0.999002
"denverit",1,0.000001,0.999002
"denyin'",1,0.000001,0.999002
"deodor",2,0.000002,0.998004
"deor",1,0.000001,0.999002
"depart",278,0.000278,0.757514
"department",1,0.000001,0.999002
"department'",17,0.000017,0.983161
"departur",24,0.000024,0.976310
"depaul",2,0.000002,0.998004
"depend",200,0.000200,0.818899
"deperson",3,0.000003,0.997008
"depew",4,0.000004,0.996012
"depict",18,0.000018,0.982179
"deplet",6,0.000006,0.994024
"deplor",9,0.000009,0.991050
"deploy",5,0.000005,0.995018
"deport",1,0.000001,0.999002
"deporte",2,0.000002,0.998004
"depos",3,0.000003,0.997008
"deposit",31,0.000031,0.969507
"depositor",1,0.000001,0.999002
"depot",14,0.000014,0.986112
"deppi",2,0.000002,0.998004
"deprav",6,0.000006,0.994024
"deprecatori",1,0.000001,0.999002
"depreci",13,0.000013,0.987097
"depred",3,0.000003,0.997008
"depress",46,0.000046,0.955087
"depressingli",2,0.000002,0.998004
"depressor",1,0.000001,0.999002
"depriv",16,0.000016,0.984144
"dept.",5,0.000005,0.995018
"depth",72,0.000072,0.930600
"depugh",3,0.000003,0.997008
"deput",1,0.000001,0.999002
"deputi",30,0.000030,0.970476
"deputy'",2,0.000002,0.998004
"dequindr",2,0.000002,0.998004
"der",2,0.000002,0.998004
"dera",1,0.000001,0.999002
"derail",1,0.000001,0.999002
"derang",3,0.000003,0.997008
"derbi",7,0.000007,0.993032
"dere",1,0.000001,0.999002
"derelict",4,0.000004,0.996012
"deris",5,0.000005,0.995018
"deriv",71,0.000071,0.931530
"derog",1,0.000001,0.999002
"derogatori",1,0.000001,0.999002
"derrick",3,0.000003,0.997008
"derrier",1,0.000001,0.999002
"dervish",4,0.000004,0.996012
"descart",2,0.000002,0.998004
"descend",31,0.000031,0.969507
"descent",11,0.000011,0.989071
"describ",200,0.000200,0.818899
"descript",71,0.000071,0.931530
"desecr",2,0.000002,0.998004
"desegreg",47,0.000047,0.954134
"desegregation-from-court-ord",1,0.000001,0.999002
"desensit",1,0.000001,0.999002
"desert",43,0.000043,0.957954
"deserv",42,0.000042,0.958911
"design",322,0.000322,0.724939
"design-consci",1,0.000001,0.999002
"design-sid",1,0.000001,0.999002
"designer'",1,0.000001,0.999002
"desir",197,0.000197,0.821357
"desk",69,0.000069,0.933393
"deslond",2,0.000002,0.998004
"desmond",1,0.000001,0.999002
"desol",12,0.000012,0.988084
"desoto",1,0.000001,0.999002
"despair",25,0.000025,0.975335
"despairingli",4,0.000004,0.996012
"despatch",2,0.000002,0.998004
"desper",55,0.000055,0.946539
"desperado",1,0.000001,0.999002
"despina",1,0.000001,0.999002
"despis",12,0.000012,0.988084
"despit",104,0.000104,0.901322
"despoil",3,0.000003,0.997008
"despond",4,0.000004,0.996012
"despot",8,0.000008,0.992040
"desprez",1,0.000001,0.999002
"despu",1,0.000001,0.999002
"dessert",9,0.000009,0.991050
"dessier",1,0.000001,0.999002
"destin",18,0.000018,0.982179
"destini",25,0.000025,0.975335
"destitut",2,0.000002,0.998004
"destroy",109,0.000109,0.896831
"destruct",63,0.000063,0.939004
"desuetud",1,0.000001,0.999002
"desultori",1,0.000001,0.999002
"desynchron",1,0.000001,0.999002
"detach",19,0.000019,0.981199
"detail",181,0.000181,0.834591
"detain",2,0.000002,0.998004
"detect",118,0.000118,0.888804
"detective'",3,0.000003,0.997008
"detector",5,0.000005,0.995018
"detent",4,0.000004,0.996012
"deter",1,0.000001,0.999002
"deterg",32,0.000032,0.968539
"deterior",11,0.000011,0.989071
"determ",1,0.000001,0.999002
"determin",322,0.000322,0.724939
"determinedli",2,0.000002,0.998004
"determinist",7,0.000007,0.993032
"deterr",9,0.000009,0.991050
"detest",7,0.000007,0.993032
"deton",7,0.000007,0.993032
"detour",3,0.000003,0.997008
"detract",1,0.000001,0.999002
"detractor",2,0.000002,0.998004
"detrib",1,0.000001,0.999002
"detriment",6,0.000006,0.994024
"detroit",21,0.000021,0.979240
"detroit'",1,0.000001,0.999002
"deu",1,0.000001,0.999002
"deuter",1,0.000001,0.999002
"deutsch",2,0.000002,0.998004
"deux",4,0.000004,0.996012
"devast",11,0.000011,0.989071
"devastatingli",1,0.000001,0.999002
"develop",707,0.000706,0.493481
"development",9,0.000009,0.991050
"deven",1,0.000001,0.999002
"dever",1,0.000001,0.999002
"deveri",2,0.000002,0.998004
"devey",5,0.000005,0.995018
"devey'",1,0.000001,0.999002
"devianc",2,0.000002,0.998004
"deviant",5,0.000005,0.995018
"deviat",21,0.000021,0.979240
"devic",92,0.000092,0.912192
"devil",27,0.000027,0.973388
"devil'",5,0.000005,0.995018
"devil's-food",1,0.000001,0.999002
"devilish",3,0.000003,0.997008
"deviou",1,0.000001,0.999002
"devis",25,0.000025,0.975335
"devise",1,0.000001,0.999002
"devoid",6,0.000006,0.994024
"devol",3,0.000003,0.997008
"devonshir",1,0.000001,0.999002
"devot",98,0.000098,0.906740
"devote",3,0.000003,0.997008
"devotedli",1,0.000001,0.999002
"devour",3,0.000003,0.997008
"devout",4,0.000004,0.996012
"devoutli",1,0.000001,0.999002
"dew",3,0.000003,0.997008
"dewar",1,0.000001,0.999002
"dewdrop",1,0.000001,0.999002
"dewey",3,0.000003,0.997008
"dewitt",1,0.000001,0.999002
"dewy-ey",1,0.000001,0.999002
"dexamethason",2,0.000002,0.998004
"dexedrin",1,0.000001,0.999002
"dexter",4,0.000004,0.996012
"dexter'",1,0.000001,0.999002
"dextrou",2,0.000002,0.998004
"dextrous-fing",1,0.000001,0.999002
"dey",2,0.000002,0.998004
"dharma",1,0.000001,0.999002
"di",22,0.000022,0.978262
"di-iodotyrosin",5,0.000005,0.995018
"dia.",4,0.000004,0.996012
"diabet",6,0.000006,0.994024
"diabol",1,0.000001,0.999002
"diachron",1,0.000001,0.999002
"diaghileff",1,0.000001,0.999002
"diagnomet",1,0.000001,0.999002
"diagnos",9,0.000009,0.991050
"diagnosi",13,0.000013,0.987097
"diagnost",10,0.000010,0.990060
"diagnostician",2,0.000002,0.998004
"diagon",9,0.000009,0.991050
"diagonaliz",14,0.000014,0.986112
"diagram",19,0.000019,0.981199
"dial",6,0.000006,0.994024
"dialect",24,0.000024,0.976310
"dialogu",14,0.000014,0.986112
"dialysi",12,0.000012,0.988084
"dialyz",4,0.000004,0.996012
"diam",2,0.000002,0.998004
"diamet",49,0.000049,0.952229
"diametr",3,0.000003,0.997008
"diamond",15,0.000015,0.985127
"diamond-stud",1,0.000001,0.999002
"dian",14,0.000014,0.986112
"dian'",1,0.000001,0.999002
"diana",7,0.000007,0.993032
"diane'",4,0.000004,0.996012
"diaper",3,0.000003,0.997008
"diaphan",1,0.000001,0.999002
"diaphragm",10,0.000010,0.990060
"diapiac",1,0.000001,0.999002
"diari",6,0.000006,0.994024
"diario",2,0.000002,0.998004
"diarrhea",7,0.000007,0.993032
"diarrhoea",3,0.000003,0.997008
"diathermi",1,0.000001,0.999002
"diathesi",1,0.000001,0.999002
"diatom",3,0.000003,0.997008
"dice",14,0.000014,0.986112
"dicendi",1,0.000001,0.999002
"dichondra",1,0.000001,0.999002
"dichotomi",1,0.000001,0.999002
"dick",21,0.000021,0.979240
"dick'",2,0.000002,0.998004
"dicken",16,0.000016,0.984144
"dickens'",2,0.000002,0.998004
"dickey",3,0.000003,0.997008
"dickey'",1,0.000001,0.999002
"dickinson",1,0.000001,0.999002
"dickson",3,0.000003,0.997008
"dictat",30,0.000030,0.970476
"dictatori",1,0.000001,0.999002
"dictatorship",13,0.000013,0.987097
"diction",6,0.000006,0.994024
"dictionari",58,0.000058,0.943706
"dictionary'",1,0.000001,0.999002
"dictum",4,0.000004,0.996012
"did",1044,0.001043,0.352422
"diddl",2,0.000002,0.998004
"didi",1,0.000001,0.999002
"didn",2,0.000002,0.998004
"didn't",401,0.000401,0.669927
"die",205,0.000205,0.814819
"die-dead",1,0.000001,0.999002
"die-up",1,0.000001,0.999002
"diego",5,0.000005,0.995018
"diehard",2,0.000002,0.998004
"diem",2,0.000002,0.998004
"dienbienphu",1,0.000001,0.999002
"diesel",1,0.000001,0.999002
"diet",24,0.000024,0.976310
"dietari",6,0.000006,0.994024
"dieter",1,0.000001,0.999002
"dietet",1,0.000001,0.999002
"diethylaminoethyl",2,0.000002,0.998004
"diethylstilbestrol",4,0.000004,0.996012
"dieti",2,0.000002,0.998004
"dietrich",5,0.000005,0.995018
"dieu",1,0.000001,0.999002
"dieux",1,0.000001,0.999002
"differ",597,0.000596,0.550799
"different-color",1,0.000001,0.999002
"differenti",37,0.000037,0.963713
"difficil",1,0.000001,0.999002
"difficult",161,0.000161,0.851433
"difficulti",122,0.000122,0.885260
"diffid",2,0.000002,0.998004
"diffr",1,0.000001,0.999002
"diffract",7,0.000007,0.993032
"diffrunc",1,0.000001,0.999002
"diffus",36,0.000036,0.964676
"dig",18,0.000018,0.982179
"digbi",7,0.000007,0.993032
"digby'",1,0.000001,0.999002
"digest",10,0.000010,0.990060
"digg",1,0.000001,0.999002
"digger",2,0.000002,0.998004
"digiorgio",1,0.000001,0.999002
"digit",8,0.000008,0.992040
"digitali",1,0.000001,0.999002
"dignifi",8,0.000008,0.992040
"dignitari",3,0.000003,0.997008
"digniti",35,0.000035,0.965640
"digress",2,0.000002,0.998004
"diisocyan",1,0.000001,0.999002
"dijon",1,0.000001,0.999002
"dilapid",3,0.000003,0.997008
"dilat",11,0.000011,0.989071
"dilemma",27,0.000027,0.973388
"dilettant",1,0.000001,0.999002
"dili",1,0.000001,0.999002
"dilig",6,0.000006,0.994024
"dill",12,0.000012,0.988084
"dill'",3,0.000003,0.997008
"dilling",1,0.000001,0.999002
"dillon",11,0.000011,0.989071
"dilthey",1,0.000001,0.999002
"diluent",1,0.000001,0.999002
"dilut",17,0.000017,0.983161
"diluzio",1,0.000001,0.999002
"dilworth",1,0.000001,0.999002
"dim",19,0.000019,0.981199
"dimaggio",6,0.000006,0.994024
"diman",1,0.000001,0.999002
"diman'",1,0.000001,0.999002
"dime",7,0.000007,0.993032
"dimens",48,0.000048,0.953181
"dimension",12,0.000012,0.988084
"dimer",1,0.000001,0.999002
"dimes",1,0.000001,0.999002
"dimethylglyoxim",2,0.000002,0.998004
"diminish",24,0.000024,0.976310
"diminut",4,0.000004,0.996012
"dimitri",2,0.000002,0.998004
"dimli",12,0.000012,0.988084
"dimly-outlin",1,0.000001,0.999002
"din",1,0.000001,0.999002
"dine",34,0.000034,0.966605
"dineen",1,0.000001,0.999002
"dinghi",1,0.000001,0.999002
"dingi",5,0.000005,0.995018
"dingo",1,0.000001,0.999002
"dingy-look",1,0.000001,0.999002
"dinh",1,0.000001,0.999002
"dining-room",1,0.000001,0.999002
"dinner",100,0.000100,0.904931
"dinnertim",3,0.000003,0.997008
"dinnerwar",1,0.000001,0.999002
"dinosaur",2,0.000002,0.998004
"dinsmor",1,0.000001,0.999002
"dioc",8,0.000008,0.992040
"dioces",1,0.000001,0.999002
"diocesan",5,0.000005,0.995018
"diodati",1,0.000001,0.999002
"dion",1,0.000001,0.999002
"dioni",1,0.000001,0.999002
"dionigi",1,0.000001,0.999002
"dionysian",2,0.000002,0.998004
"dionysu",1,0.000001,0.999002
"dior",1,0.000001,0.999002
"diorah",1,0.000001,0.999002
"diorama",1,0.000001,0.999002
"dioxal",1,0.000001,0.999002
"dioxid",2,0.000002,0.998004
"dip",11,0.000011,0.989071
"diphosphopyridin",1,0.000001,0.999002
"diplomaci",17,0.000017,0.983161
"diplomat",39,0.000039,0.961789
"diplomat'",1,0.000001,0.999002
"dipol",6,0.000006,0.994024
"dipper",6,0.000006,0.994024
"dipylon",3,0.000003,0.997008
"dire",1,0.000001,0.999002
"direct",393,0.000393,0.675302
"direct-sum",2,0.000002,0.998004
"direction",1,0.000001,0.999002
"directli",141,0.000141,0.868615
"director",124,0.000124,0.883493
"director'",1,0.000001,0.999002
"director-gener",1,0.000001,0.999002
"directori",7,0.000007,0.993032
"directorship",1,0.000001,0.999002
"directric",1,0.000001,0.999002
"dirg",2,0.000002,0.998004
"dirion",1,0.000001,0.999002
"dirksen",3,0.000003,0.997008
"diron",1,0.000001,0.999002
"dirt",43,0.000043,0.957954
"dirt-catch",1,0.000001,0.999002
"dirti",36,0.000036,0.964676
"disabl",21,0.000021,0.979240
"disabus",2,0.000002,0.998004
"disadvantag",13,0.000013,0.987097
"disaffect",2,0.000002,0.998004
"disaffili",3,0.000003,0.997008
"disagr",13,0.000013,0.987097
"disagre",13,0.000013,0.987097
"disallow",1,0.000001,0.999002
"disappear",62,0.000062,0.939943
"disappoint",39,0.000039,0.961789
"disapprob",1,0.000001,0.999002
"disapprov",24,0.000024,0.976310
"disapprovingli",1,0.000001,0.999002
"disarm",8,0.000008,0.992040
"disarma",11,0.000011,0.989071
"disarrang",1,0.000001,0.999002
"disarray",2,0.000002,0.998004
"disassembl",2,0.000002,0.998004
"disast",30,0.000030,0.970476
"disastr",16,0.000016,0.984144
"disband",2,0.000002,0.998004
"disbelief",6,0.000006,0.994024
"disbeliev",4,0.000004,0.996012
"disburs",5,0.000005,0.995018
"disc",13,0.000013,0.987097
"discard",9,0.000009,0.991050
"discern",18,0.000018,0.982179
"discharg",40,0.000040,0.960829
"discipl",9,0.000009,0.991050
"discipleship",2,0.000002,0.998004
"disciplin",43,0.000043,0.957954
"disciplinari",1,0.000001,0.999002
"disclaim",2,0.000002,0.998004
"disclos",24,0.000024,0.976310
"disclosur",6,0.000006,0.994024
"discoid",1,0.000001,0.999002
"discolor",2,0.000002,0.998004
"discomfort",7,0.000007,0.993032
"disconcert",5,0.000005,0.995018
"disconcertingli",1,0.000001,0.999002
"disconnect",4,0.000004,0.996012
"discont",9,0.000009,0.991050
"discontinu",17,0.000017,0.983161
"discord",1,0.000001,0.999002
"discordantli",2,0.000002,0.998004
"discorpor",3,0.000003,0.997008
"discount",20,0.000020,0.980219
"discour",1,0.000001,0.999002
"discourag",32,0.000032,0.968539
"discours",12,0.000012,0.988084
"discourt",2,0.000002,0.998004
"discov",123,0.000123,0.884376
"discover",1,0.000001,0.999002
"discoveri",55,0.000055,0.946539
"discredit",5,0.000005,0.995018
"discreet",3,0.000003,0.997008
"discreetli",2,0.000002,0.998004
"discrep",16,0.000016,0.984144
"discret",21,0.000021,0.979240
"discretionari",2,0.000002,0.998004
"discrimin",31,0.000031,0.969507
"discriminatori",3,0.000003,0.997008
"discurs",1,0.000001,0.999002
"discuss",240,0.000240,0.786822
"disdain",8,0.000008,0.992040
"diseas",73,0.000073,0.929671
"disembodi",1,0.000001,0.999002
"disenfranchis",3,0.000003,0.997008
"disengag",2,0.000002,0.998004
"disentangl",2,0.000002,0.998004
"disfavor",1,0.000001,0.999002
"disfigur",5,0.000005,0.995018
"disgrac",5,0.000005,0.995018
"disgruntl",1,0.000001,0.999002
"disguis",17,0.000017,0.983161
"disgust",11,0.000011,0.989071
"dish",38,0.000038,0.962751
"disharmoni",1,0.000001,0.999002
"dishearten",3,0.000003,0.997008
"dishevel",2,0.000002,0.998004
"dishonest",3,0.000003,0.997008
"dishonesti",2,0.000002,0.998004
"dishonor",3,0.000003,0.997008
"dishonour",1,0.000001,0.999002
"dishwash",1,0.000001,0.999002
"dishwat",1,0.000001,0.999002
"disillus",3,0.000003,0.997008
"disillusion",3,0.000003,0.997008
"disimon",1,0.000001,0.999002
"disinclin",2,0.000002,0.998004
"disint",1,0.000001,0.999002
"disintegr",9,0.000009,0.991050
"disinterest",8,0.000008,0.992040
"disjoint",1,0.000001,0.999002
"disk",30,0.000030,0.970476
"dislik",30,0.000030,0.970476
"disloc",4,0.000004,0.996012
"dislodg",3,0.000003,0.997008
"disloy",2,0.000002,0.998004
"disloyalti",2,0.000002,0.998004
"dismal",10,0.000010,0.990060
"dismay",9,0.000009,0.991050
"dismemb",2,0.000002,0.998004
"dismember",2,0.000002,0.998004
"dismiss",30,0.000030,0.970476
"dismount",7,0.000007,0.993032
"disneyland",1,0.000001,0.999002
"disobedi",9,0.000009,0.991050
"disobey",5,0.000005,0.995018
"disord",17,0.000017,0.983161
"disorderli",4,0.000004,0.996012
"disorgan",6,0.000006,0.994024
"disori",1,0.000001,0.999002
"disown",3,0.000003,0.997008
"dispar",7,0.000007,0.993032
"disparag",2,0.000002,0.998004
"dispassion",4,0.000004,0.996012
"dispatch",19,0.000019,0.981199
"dispel",12,0.000012,0.988084
"dispens",12,0.000012,0.988084
"dispensari",1,0.000001,0.999002
"dispers",15,0.000015,0.985127
"displac",30,0.000030,0.970476
"display",89,0.000089,0.914929
"displeas",7,0.000007,0.993032
"displeasur",4,0.000004,0.996012
"dispos",43,0.000043,0.957954
"disposit",14,0.000014,0.986112
"dispossess",3,0.000003,0.997008
"disproportion",3,0.000003,0.997008
"disprov",4,0.000004,0.996012
"disput",45,0.000045,0.956042
"disqualifi",2,0.000002,0.998004
"disquiet",2,0.000002,0.998004
"disquietud",1,0.000001,0.999002
"disquisit",1,0.000001,0.999002
"disregard",13,0.000013,0.987097
"disrepair",2,0.000002,0.998004
"disreput",3,0.000003,0.997008
"disrespect",2,0.000002,0.998004
"disrob",1,0.000001,0.999002
"disrupt",21,0.000021,0.979240
"dissatisfact",10,0.000010,0.990060
"dissatisfi",6,0.000006,0.994024
"dissect",4,0.000004,0.996012
"dissembl",1,0.000001,0.999002
"dissemin",9,0.000009,0.991050
"dissens",4,0.000004,0.996012
"dissent",12,0.000012,0.988084
"disservic",1,0.000001,0.999002
"dissid",1,0.000001,0.999002
"dissimilar",3,0.000003,0.997008
"dissimul",1,0.000001,0.999002
"dissip",3,0.000003,0.997008
"dissoci",5,0.000005,0.995018
"dissolut",4,0.000004,0.996012
"dissolv",24,0.000024,0.976310
"disson",1,0.000001,0.999002
"dissuad",3,0.000003,0.997008
"dist.",3,0.000003,0.997008
"distal",10,0.000010,0.990060
"distanc",127,0.000127,0.880849
"distant",37,0.000037,0.963713
"distantli",1,0.000001,0.999002
"distast",11,0.000011,0.989071
"distens",1,0.000001,0.999002
"distil",17,0.000017,0.983161
"distinct",120,0.000120,0.887030
"distinctli",12,0.000012,0.988084
"distinguish",76,0.000076,0.926889
"distort",25,0.000025,0.975335
"distract",12,0.000012,0.988084
"distractedli",1,0.000001,0.999002
"distraught",1,0.000001,0.999002
"distress",27,0.000027,0.973388
"distribut",136,0.000136,0.872965
"distributor",11,0.000011,0.989071
"distributor'",1,0.000001,0.999002
"distributorship",1,0.000001,0.999002
"district",173,0.000173,0.841288
"distrust",8,0.000008,0.992040
"disturb",66,0.000066,0.936195
"disturbingli",1,0.000001,0.999002
"disun",3,0.000003,0.997008
"disunion",1,0.000001,0.999002
"disunit",1,0.000001,0.999002
"ditch",12,0.000012,0.988084
"ditcher",1,0.000001,0.999002
"dite",1,0.000001,0.999002
"ditmar",3,0.000003,0.997008
"ditti",4,0.000004,0.996012
"diurnal",5,0.000005,0.995018
"diva",1,0.000001,0.999002
"divan",7,0.000007,0.993032
"divan-lik",1,0.000001,0.999002
"divarco",1,0.000001,0.999002
"dive",37,0.000037,0.963713
"diver",4,0.000004,0.996012
"diverg",9,0.000009,0.991050
"divers",38,0.000038,0.962751
"diversif",3,0.000003,0.997008
"diversifi",7,0.000007,0.993032
"diversionari",1,0.000001,0.999002
"divert",7,0.000007,0.993032
"divertimento",2,0.000002,0.998004
"divest",1,0.000001,0.999002
"divestitur",4,0.000004,0.996012
"divid",83,0.000083,0.920430
"dividend",14,0.000014,0.986112
"divin",51,0.000051,0.950329
"divine'",1,0.000001,0.999002
"divis",131,0.000131,0.877336
"division",2,0.000002,0.998004
"division'",2,0.000002,0.998004
"divorc",37,0.000037,0.963713
"divorce",2,0.000002,0.998004
"divulg",1,0.000001,0.999002
"dixi",1,0.000001,0.999002
"dixiecrat",1,0.000001,0.999002
"dixieland",3,0.000003,0.997008
"dixon",3,0.000003,0.997008
"dizzi",6,0.000006,0.994024
"dizzili",1,0.000001,0.999002
"djakarta",1,0.000001,0.999002
"django",4,0.000004,0.996012
"django'",1,0.000001,0.999002
"djangolog",2,0.000002,0.998004
"dline",3,0.000003,0.997008
"dnieper",1,0.000001,0.999002
"do",1533,0.001531,0.216228
"do(c)ter",1,0.000001,0.999002
"do-good",3,0.000003,0.997008
"do-it-yourself",5,0.000005,0.995018
"doan",1,0.000001,0.999002
"doati",8,0.000008,0.992040
"doaty'",6,0.000006,0.994024
"dobb",1,0.000001,0.999002
"dobbin",1,0.000001,0.999002
"doberman",1,0.000001,0.999002
"dobl",1,0.000001,0.999002
"doc",20,0.000020,0.980219
"docherti",9,0.000009,0.991050
"docil",5,0.000005,0.995018
"dock",10,0.000010,0.990060
"docket",1,0.000001,0.999002
"docksid",2,0.000002,0.998004
"docter",1,0.000001,0.999002
"doctor",135,0.000135,0.873837
"doctor'",18,0.000018,0.982179
"doctors'",1,0.000001,0.999002
"doctrin",55,0.000055,0.946539
"doctrinair",2,0.000002,0.998004
"document",41,0.000041,0.959870
"documentari",6,0.000006,0.994024
"documentary-typ",1,0.000001,0.999002
"dodd",1,0.000001,0.999002
"dodg",15,0.000015,0.985127
"dodge'",1,0.000001,0.999002
"dodger",6,0.000006,0.994024
"dodington",1,0.000001,0.999002
"doe",486,0.000485,0.615390
"doer",1,0.000001,0.999002
"doerner'",1,0.000001,0.999002
"doesn't",88,0.000088,0.915844
"dof",1,0.000001,0.999002
"dog",147,0.000147,0.863425
"dog'",2,0.000002,0.998004
"dog-ear",1,0.000001,0.999002
"dog-pin",1,0.000001,0.999002
"dogberri",1,0.000001,0.999002
"doggedli",2,0.000002,0.998004
"doggon",1,0.000001,0.999002
"doghous",1,0.000001,0.999002
"dogleg",1,0.000001,0.999002
"dogma",6,0.000006,0.994024
"dogmat",10,0.000010,0.990060
"dogtown",9,0.000009,0.991050
"dogtrot",1,0.000001,0.999002
"dogumenti",1,0.000001,0.999002
"dogwood",1,0.000001,0.999002
"dohnanyi",1,0.000001,0.999002
"doin",2,0.000002,0.998004
"doin'",1,0.000001,0.999002
"dolan",2,0.000002,0.998004
"dolc",5,0.000005,0.995018
"doldrum",1,0.000001,0.999002
"dole",3,0.000003,0.997008
"doll",22,0.000022,0.978262
"dollar",143,0.000143,0.866882
"dollar-and-c",1,0.000001,0.999002
"dollar-britten",1,0.000001,0.999002
"dollar-d",1,0.000001,0.999002
"dollar-sign",1,0.000001,0.999002
"dollarett",1,0.000001,0.999002
"dollars'",1,0.000001,0.999002
"dollars-and-c",1,0.000001,0.999002
"dolley",3,0.000003,0.997008
"dolli",5,0.000005,0.995018
"dolmabahc",1,0.000001,0.999002
"dolor",20,0.000020,0.980219
"dolphin",5,0.000005,0.995018
"doltish",1,0.000001,0.999002
"domain",12,0.000012,0.988084
"dome",27,0.000027,0.973388
"domesday",1,0.000001,0.999002
"domest",65,0.000065,0.937130
"domi",1,0.000001,0.999002
"domicil",2,0.000002,0.998004
"domicilium",1,0.000001,0.999002
"domin",131,0.000131,0.877336
"domina",2,0.000002,0.998004
"dominantli",1,0.000001,0.999002
"dominican",14,0.000014,0.986112
"dominion",8,0.000008,0.992040
"dominiqu",1,0.000001,0.999002
"domitian'",1,0.000001,0.999002
"domok",2,0.000002,0.998004
"don",27,0.000027,0.973388
"don't",489,0.000488,0.613548
"don't-know'",1,0.000001,0.999002
"donald",20,0.000020,0.980219
"donaldson",2,0.000002,0.998004
"donat",16,0.000016,0.984144
"donato",1,0.000001,0.999002
"done",319,0.000319,0.727114
"donizetti'",1,0.000001,0.999002
"donkey",1,0.000001,0.999002
"donna",4,0.000004,0.996012
"donnay",3,0.000003,0.997008
"donnel",1,0.000001,0.999002
"donnelli",1,0.000001,0.999002
"donner",1,0.000001,0.999002
"donnybrook",4,0.000004,0.996012
"donor",10,0.000010,0.990060
"donovan",7,0.000007,0.993032
"doo",2,0.000002,0.998004
"dookiyoon",2,0.000002,0.998004
"dooley",2,0.000002,0.998004
"doolin",6,0.000006,0.994024
"doolin'",1,0.000001,0.999002
"doolittl",2,0.000002,0.998004
"doolittle'",1,0.000001,0.999002
"doom",14,0.000014,0.986112
"doomsday",1,0.000001,0.999002
"door",348,0.000348,0.706352
"door-fram",1,0.000001,0.999002
"door-front",1,0.000001,0.999002
"door-to-door",1,0.000001,0.999002
"doorbel",2,0.000002,0.998004
"doorkeep",1,0.000001,0.999002
"doorknob",3,0.000003,0.997008
"doorman",4,0.000004,0.996012
"doormen",3,0.000003,0.997008
"doorstep",3,0.000003,0.997008
"doorway",18,0.000018,0.982179
"dope",3,0.000003,0.997008
"dope-ridden",1,0.000001,0.999002
"doppler",1,0.000001,0.999002
"dora",2,0.000002,0.998004
"dorado",4,0.000004,0.996012
"doran",2,0.000002,0.998004
"dorca",1,0.000001,0.999002
"doren",1,0.000001,0.999002
"dorenzo",1,0.000001,0.999002
"dori",5,0.000005,0.995018
"doria",2,0.000002,0.998004
"doric",4,0.000004,0.996012
"doris'",1,0.000001,0.999002
"dormant",5,0.000005,0.995018
"dormitori",6,0.000006,0.994024
"dorothi",3,0.000003,0.997008
"dorr",3,0.000003,0.997008
"dorset",8,0.000008,0.992040
"dorsey",1,0.000001,0.999002
"dosag",8,0.000008,0.992040
"dose",26,0.000026,0.974361
"dost",1,0.000001,0.999002
"dostoevski",2,0.000002,0.998004
"dostoevsky'",1,0.000001,0.999002
"dot",28,0.000028,0.972416
"dote",2,0.000002,0.998004
"doubl",80,0.000080,0.923192
"double-",1,0.000001,0.999002
"double-bogey",1,0.000001,0.999002
"double-breast",2,0.000002,0.998004
"double-cross",3,0.000003,0.997008
"double-entendr",2,0.000002,0.998004
"double-figur",1,0.000001,0.999002
"double-glaz",1,0.000001,0.999002
"double-head",1,0.000001,0.999002
"double-marri",1,0.000001,0.999002
"double-mean",1,0.000001,0.999002
"double-stag",3,0.000003,0.997008
"double-step",3,0.000003,0.997008
"double-strength",1,0.000001,0.999002
"double-talk",1,0.000001,0.999002
"double-valu",2,0.000002,0.998004
"double-wal",4,0.000004,0.996012
"doublehead",1,0.000001,0.999002
"doubli",4,0.000004,0.996012
"doubloon",1,0.000001,0.999002
"doubt",167,0.000167,0.846345
"doubtingli",1,0.000001,0.999002
"doubtless",13,0.000013,0.987097
"douc",1,0.000001,0.999002
"doug",1,0.000001,0.999002
"dough",13,0.000013,0.987097
"doughnutteri",1,0.000001,0.999002
"dougla",23,0.000023,0.977286
"douglass",9,0.000009,0.991050
"dour",2,0.000002,0.998004
"dourli",1,0.000001,0.999002
"dous",1,0.000001,0.999002
"dousman",2,0.000002,0.998004
"dove",5,0.000005,0.995018
"dover",4,0.000004,0.996012
"dovetail",1,0.000001,0.999002
"dow",4,0.000004,0.996012
"dow-jon",1,0.000001,0.999002
"dowag",1,0.000001,0.999002
"dowel",3,0.000003,0.997008
"dower",1,0.000001,0.999002
"dowex-2-chlorid",6,0.000006,0.994024
"dowguard",1,0.000001,0.999002
"dowling'",1,0.000001,0.999002
"down",906,0.000905,0.404515
"down-and-out",2,0.000002,0.998004
"down-pay",1,0.000001,0.999002
"down-to-earth",5,0.000005,0.995018
"downbeat",1,0.000001,0.999002
"downcast",2,0.000002,0.998004
"downer",1,0.000001,0.999002
"downfal",5,0.000005,0.995018
"downgrad",4,0.000004,0.996012
"downhil",6,0.000006,0.994024
"downpay",1,0.000001,0.999002
"downpour",3,0.000003,0.997008
"downright",8,0.000008,0.992040
"downstair",12,0.000012,0.988084
"downstream",5,0.000005,0.995018
"downtalk",1,0.000001,0.999002
"downtown",41,0.000041,0.959870
"downtrend",1,0.000001,0.999002
"downtrodden",2,0.000002,0.998004
"downturn",2,0.000002,0.998004
"downward",16,0.000016,0.984144
